TimeStampDate,AltitudeQnh_meters,AirSpeed_knots,VerticalSpeed_m/s,NormalAcceleration_g,MotorPower_volts
67,78.3,4.7,5.61,0.5,4
68,80.59,0.3,3.25,1.4,9
69,89.7,3.8,-7.19,0.5,11
70,53.3,2.5,4.47,0.4,9
71,61.38,2.2,8.23,1.2,4
72,97.93,1.2,2.31,1.3,11
73,82.65,4.6,-9.75,1.7,2
74,76.35,8.6,2.32,1.1,6
75,96.69,1.8,9.2,0.5,4
76,69.67,4.4,-3.78,2.0,9
77,98.66,2.5,-0.07,0.1,7
78,73.03,7.8,7.25,0.0,10
79,96.58,4.5,1.05,1.8,9
80,70.28,5.8,5.8,0.8,9
81,58.04,2.6,-9.82,1.8,12
82,86.99,1.6,5.04,1.9,7
83,58.47,0.7,-2.39,0.8,5
84,81.64,8.5,7.2,1.9,8
85,63.23,1.1,5.6,0.5,0
86,62.96,4.8,-5.55,1.9,7
87,91.96,5.7,3.0,1.9,4
88,82.42,8.1,-6.29,0.3,0
89,64.36,0.3,-0.37,1.2,12
90,54.16,5.1,5.32,1.7,3
91,76.81,1.9,8.01,1.6,4
92,83.74,2.6,-7.93,0.5,11
93,94.65,4.9,-4.29,0.9,9
94,51.33,7.4,2.91,1.3,0
95,58.46,5.6,-9.58,0.6,6
96,80.33,2.4,3.22,1.1,11
97,80.5,9.4,-9.3,0.7,12
98,61.03,9.7,1.72,0.7,4
99,64.93,3.0,6.3,1.5,6
100,89.92,9.6,-0.06,1.4,6
101,87.7,1.7,-9.03,0.8,9
102,53.64,7.7,-2.8,1.2,2
103,98.69,2.4,4.44,0.7,4
104,65.04,4.6,6.55,2.0,2
105,93.64,4.5,-5.1,1.5,10
106,98.19,1.9,-1.04,0.4,6
107,98.03,3.8,-4.92,0.6,12
108,85.17,0.6,9.91,0.6,5
109,85.67,9.7,-0.05,0.5,12
110,77.42,2.8,1.41,1.4,12
111,91.81,7.5,6.03,2.0,11
112,86.53,7.1,9.89,0.7,10
113,64.26,5.5,7.07,0.8,6
114,54.71,6.1,-2.05,1.3,2
115,82.36,2.1,-3.01,1.6,12
116,58.94,9.2,-4.74,0.6,4
117,93.43,2.6,0.26,0.1,5
118,55.03,2.1,-3.03,0.4,3
119,52.7,8.0,8.98,1.2,7
120,67.62,4.8,-2.75,1.1,6
121,66.53,2.4,2.79,0.1,9
122,56.42,8.5,-0.27,1.5,12
123,54.21,1.9,-2.95,1.0,3
124,54.52,9.6,-9.89,1.3,1
125,92.65,2.9,2.69,1.0,1
126,72.99,7.1,-4.25,0.8,3
127,89.02,5.7,-3.46,0.4,2
128,88.63,5.7,2.93,1.6,0
129,74.73,4.5,-1.71,0.7,6
130,69.55,5.4,-3.09,1.9,0
131,72.71,3.6,-3.38,1.8,10
132,64.32,5.1,3.55,0.2,0
133,63.91,2.9,-6.79,0.4,5
134,80.8,5.3,1.94,1.5,7
135,86.91,3.2,-7.29,0.9,3
136,82.4,6.1,1.83,1.3,1
137,88.78,6.5,-6.76,0.6,4
138,90.45,6.5,4.97,0.0,7
139,93.61,1.9,-9.12,1.4,2
140,82.63,0.7,2.17,1.4,12
141,98.19,7.2,-9.18,0.8,7
142,68.91,4.8,1.39,0.1,2
143,68.38,7.8,2.89,2.0,7
144,64.58,9.7,6.18,0.6,12
145,73.44,2.9,0.53,1.5,6
146,84.24,4.2,-2.87,1.4,1
147,68.52,5.7,4.73,1.6,3
148,70.12,2.5,7.92,0.3,3
149,93.71,8.7,6.72,1.9,5
150,69.62,7.6,-0.98,0.8,12
151,71.46,7.6,0.66,0.9,11
152,76.67,1.1,5.32,0.7,6
153,64.51,6.6,-5.25,1.3,6
154,56.61,7.2,-1.49,0.0,2
155,57.34,7.5,-0.21,1.0,9
156,55.35,9.5,0.82,0.3,10
157,68.39,7.5,-0.02,0.0,3
158,74.25,1.4,-2.15,1.1,3
159,60.89,7.0,-9.23,0.1,4
160,88.27,8.7,4.78,1.0,5
161,91.96,3.4,-3.6,1.2,12
162,82.15,4.9,9.41,1.1,6
163,60.02,0.0,-4.49,1.6,2
164,73.7,1.5,-8.33,1.6,1
165,98.38,6.3,-1.41,1.1,11
166,70.85,4.0,7.32,0.4,1
167,78.19,4.5,-1.99,1.6,6
168,97.61,0.7,-4.88,0.0,2
169,78.38,9.6,-7.55,0.5,4
170,73.89,7.3,-7.38,0.7,9
171,52.81,5.4,4.89,1.0,1
172,64.97,6.2,-9.28,0.3,11
173,98.53,3.7,6.19,0.7,9
174,57.63,5.2,-8.53,1.7,3
175,70.7,4.9,-3.02,0.8,0
176,61.4,3.0,1.68,1.3,0
177,63.21,4.6,1.79,1.1,7
178,71.55,2.5,3.36,0.4,2
179,94.3,5.5,2.07,0.1,0
180,84.62,8.8,2.43,0.6,11
181,88.21,1.7,6.22,1.4,3
182,62.96,5.5,-7.76,1.0,1
183,70.03,5.3,-8.72,1.7,2
184,89.88,2.1,1.08,1.4,9
185,75.63,7.9,-3.71,0.3,6
186,52.02,3.9,-6.86,0.7,6
187,68.38,3.9,1.4,0.8,8
188,53.39,8.7,-9.38,0.1,11
189,63.61,7.1,-5.58,0.5,7
190,82.52,0.8,-9.3,1.4,8
191,71.62,1.8,9.14,0.6,10
192,64.29,7.9,0.87,0.8,3
193,54.38,1.5,2.43,0.2,1
194,83.11,7.8,6.79,0.1,11
195,67.26,9.5,-3.48,1.9,5
196,64.19,4.4,3.49,1.1,4
197,94.94,0.1,-4.97,2.0,2
198,75.36,4.4,8.17,0.2,2
199,60.18,4.6,-0.62,0.7,6
200,78.65,2.6,-2.85,1.2,0
201,77.43,5.9,5.52,0.6,6
202,59.59,7.7,5.92,0.5,3
203,61.31,5.6,0.82,0.3,12
204,77.2,6.8,3.98,1.3,6
205,52.5,9.6,-6.94,1.9,8
206,81.84,1.9,9.03,0.1,0
207,57.4,1.3,4.89,1.0,10
208,92.79,9.3,-8.18,0.0,6
209,67.38,2.9,-5.71,0.5,8
210,78.41,3.6,7.74,1.0,5
211,66.69,4.3,-7.07,1.5,6
212,87.29,1.6,2.16,0.5,2
213,85.41,7.8,-0.06,1.9,0
214,72.93,2.2,7.73,1.1,8
215,62.27,3.2,-3.15,0.3,10
216,61.24,8.2,2.86,1.5,8
217,56.27,1.0,4.53,1.6,5
218,51.18,1.9,-2.08,1.2,6
219,71.27,7.0,9.84,1.8,10
220,96.37,6.7,-2.21,1.3,10
221,91.85,5.3,3.52,0.8,2
222,95.95,7.9,-3.88,1.3,12
223,85.26,5.9,3.91,1.1,0
224,83.11,4.5,0.65,1.8,9
225,98.15,6.9,-1.17,0.8,11
226,80.86,8.8,6.73,0.9,12
227,83.88,1.6,-5.89,0.9,7
228,62.78,1.9,2.85,1.3,10
229,63.9,1.9,-8.74,0.1,6
230,54.26,4.9,-1.22,1.6,9
231,59.0,3.7,6.28,1.8,8
232,78.6,8.6,-2.58,1.0,0
233,80.1,7.9,-0.34,1.3,4
234,78.83,3.5,5.86,1.3,0
235,73.49,7.4,0.9,0.7,11
236,63.07,0.3,6.49,1.1,0
237,74.6,2.0,5.86,1.0,12
238,73.34,1.2,-3.65,0.2,3
239,53.28,8.8,-5.51,0.9,8
240,68.0,3.7,4.32,0.8,7
241,90.6,1.5,-7.5,0.5,2
242,76.64,7.3,7.7,0.5,11
243,72.71,2.8,8.04,1.4,8
244,94.91,4.4,7.34,1.5,12
245,90.6,8.1,9.79,1.7,2
246,94.97,1.7,0.17,1.7,1
247,90.92,2.3,6.83,1.5,3
248,60.07,4.0,5.86,0.9,0
249,58.77,2.5,-8.75,0.7,11
250,57.6,7.5,7.73,1.2,2
251,78.42,8.6,1.91,1.7,2
252,80.64,9.6,-3.42,1.9,2
253,53.41,9.5,-6.8,1.8,12
254,82.92,7.3,-8.9,1.8,8
255,51.15,0.5,3.25,2.0,6
256,69.16,2.5,4.11,0.6,1
257,58.12,3.8,-0.43,0.3,5
258,57.15,3.8,3.15,0.9,11
259,67.0,8.4,8.64,0.3,9
260,57.45,1.9,6.47,1.8,7
261,57.21,0.6,-4.96,0.3,6
262,99.17,9.2,6.42,2.0,4
263,52.39,1.0,-7.45,1.4,9
264,96.91,3.8,-8.96,0.8,2
265,74.9,5.4,1.73,1.2,2
266,89.54,8.2,-9.34,0.9,0
267,95.0,9.3,-0.92,1.9,6
268,79.88,2.1,-0.91,0.4,11
269,95.38,8.3,-8.91,0.6,1
270,62.28,6.6,5.81,0.7,10
271,70.46,4.7,3.45,1.6,3
272,77.79,0.5,7.92,1.3,8
273,68.53,1.4,3.87,1.1,9
274,93.23,6.7,2.18,1.5,2
275,78.71,7.6,-6.32,0.7,2
276,82.31,7.8,3.48,1.8,10
277,79.9,6.4,-9.68,1.6,0
278,73.17,9.9,4.88,0.3,10
279,56.4,9.9,-7.2,0.2,6
280,61.2,2.2,3.68,0.7,9
281,82.83,3.1,-2.7,0.2,5
282,58.79,4.0,-4.8,0.9,1
283,66.16,1.5,-7.12,0.5,9
284,78.81,7.1,-2.03,0.1,5
285,64.36,8.0,3.58,0.2,10
286,61.48,9.6,8.28,0.0,12
287,86.99,0.4,-9.71,0.8,11
288,67.67,9.0,0.38,1.8,7
289,59.91,7.3,8.17,0.3,0
290,98.81,4.5,-9.54,0.6,6
291,52.77,1.6,-5.3,1.0,11
292,68.92,2.5,2.48,0.3,2
293,53.55,0.2,-0.71,1.2,7
294,89.46,3.2,3.35,0.3,2
295,89.79,6.2,-6.01,0.3,12
296,71.8,1.4,-4.2,0.5,2
297,52.54,1.4,5.02,1.2,12
298,86.28,7.9,-0.79,0.2,6
299,97.44,7.7,4.72,0.1,4
300,87.73,7.0,2.48,0.0,1
301,76.92,2.4,-3.88,1.2,3
302,69.98,5.6,0.09,0.9,1
303,62.76,5.5,-6.56,0.1,3
304,55.38,3.5,5.85,0.8,4
305,51.47,1.6,-0.41,1.2,11
306,56.51,4.8,-0.68,0.7,0
307,90.64,7.7,4.83,0.9,5
308,52.14,3.2,-5.5,0.1,8
309,67.73,6.9,-8.78,1.2,10
310,73.57,9.9,-8.88,0.4,5
311,56.57,2.4,6.52,1.8,1
312,74.56,4.3,-8.65,1.5,9
313,56.04,3.6,6.95,1.2,4
314,52.81,4.0,-3.76,0.9,12
315,85.81,3.7,3.11,0.6,10
316,52.19,4.5,-4.57,0.2,8
317,91.19,5.5,6.29,0.7,10
318,96.53,9.4,-6.79,1.9,9
319,67.12,4.6,-8.3,1.9,5
320,62.5,6.1,-2.94,0.1,1
321,66.12,1.9,7.5,1.4,4
322,71.66,5.3,1.84,0.2,11
323,71.45,2.5,0.33,0.0,0
324,72.07,7.9,-1.75,0.4,6
325,78.28,7.3,-0.16,0.6,7
326,81.48,1.2,6.15,0.2,9
327,77.15,6.4,-9.94,1.0,8
328,72.78,1.0,1.81,1.6,8
329,93.72,7.0,6.34,0.3,12
330,87.48,9.1,-3.17,0.7,4
331,91.0,9.2,2.16,0.4,2
332,58.68,2.7,8.84,1.3,10
333,71.36,1.5,6.97,1.1,11
334,56.11,3.3,6.25,0.7,8
335,69.32,6.7,-2.01,1.9,11
336,56.95,9.1,6.35,1.1,3
337,77.88,3.5,-8.69,2.0,11
338,83.63,0.9,-9.87,1.3,3
339,88.89,9.4,-3.03,0.8,6
340,98.67,4.8,-0.7,0.0,0
341,87.04,4.8,4.3,1.7,2
342,87.15,7.1,-3.29,0.9,7
343,96.49,0.7,-8.67,0.4,2
344,50.98,5.7,-7.39,0.6,10
345,92.07,3.0,-8.3,1.7,7
346,87.37,4.9,-7.31,0.5,10
347,99.73,2.9,0.13,1.7,8
348,62.02,9.0,-0.28,1.8,2
349,65.82,5.2,2.06,0.6,5
350,96.77,3.6,7.08,0.7,11
351,77.87,1.6,9.35,1.4,7
352,71.84,0.3,-5.56,0.1,12
353,72.64,7.2,-7.22,0.3,0
354,62.76,9.2,0.21,0.0,8
355,98.71,2.0,-8.75,0.5,7
356,57.88,6.2,8.92,1.8,0
357,66.32,3.1,7.94,0.4,12
358,72.28,2.8,-9.25,1.4,12
359,76.91,8.9,-1.71,0.2,11
360,77.37,3.2,3.94,0.1,9
361,57.34,2.1,3.44,0.1,10
362,68.94,6.8,-4.13,1.2,1
363,88.08,4.0,6.4,0.6,7
364,64.71,0.9,-5.39,1.9,11
365,90.17,4.4,-9.84,1.0,2
366,87.87,8.0,-7.72,1.4,10
367,58.98,3.7,7.96,1.5,5
368,62.2,2.9,-4.51,0.9,5
369,58.72,3.1,2.23,1.6,7
370,95.73,0.4,-6.34,0.2,5
371,73.94,7.0,-6.54,1.3,0
372,99.34,0.2,5.02,1.3,11
373,54.35,8.8,5.46,1.3,2
374,60.43,2.3,9.41,1.4,10
375,55.46,0.7,0.0,1.5,5
376,70.62,9.2,-5.48,1.4,4
377,83.48,4.9,7.73,0.7,4
378,90.08,5.2,2.31,0.7,5
379,71.92,3.3,0.99,1.7,6
380,64.3,3.0,2.88,1.3,5
381,89.45,8.7,-8.06,0.2,5
382,77.96,6.7,5.66,0.1,1
383,99.92,6.5,-4.97,1.4,12
384,67.27,5.5,-2.61,0.2,12
385,93.17,2.7,5.89,0.7,10
386,89.46,3.8,4.57,1.0,4
387,69.94,3.2,0.58,0.0,11
388,62.42,3.3,8.79,2.0,9
389,56.61,9.8,9.41,0.7,0
390,68.13,1.4,4.57,0.5,11
391,83.04,8.8,-9.0,1.2,0
392,83.79,0.3,-2.52,0.3,6
393,95.95,1.0,-2.85,0.3,1
394,69.21,0.4,8.49,1.6,5
395,72.28,5.7,-4.62,0.2,6
396,61.93,4.0,-6.92,1.3,1
397,63.43,7.5,-0.69,0.2,4
398,92.37,2.7,9.16,0.3,7
399,64.63,7.5,-4.54,1.5,4
400,54.96,8.4,-9.65,1.8,1
401,53.97,1.1,6.71,1.4,12
402,57.21,1.2,-3.19,1.6,11
403,84.1,4.5,-2.45,1.1,9
404,79.35,0.6,0.61,1.0,1
405,74.16,6.8,6.67,0.9,0
406,67.83,8.3,-4.26,0.3,0
407,68.43,3.1,-9.08,0.5,11
408,76.09,1.9,5.9,0.3,0
409,56.07,3.7,1.83,1.1,12
410,96.19,5.0,-7.54,1.8,5
411,97.52,3.1,4.43,0.7,3
412,75.63,1.0,6.75,0.9,9
413,84.33,1.0,-1.68,1.2,3
414,81.14,3.3,3.55,1.9,3
415,60.3,3.8,9.91,1.5,8
416,98.71,6.0,-8.24,0.6,1
417,65.14,8.6,-1.18,0.5,4
418,98.53,6.3,0.52,0.5,11
419,71.29,9.6,2.85,0.2,11
420,87.89,6.8,4.45,0.8,12
421,82.85,6.3,-6.44,0.1,5
422,67.49,1.9,9.05,0.4,4
423,99.29,8.3,-0.35,0.9,8
424,81.13,8.5,2.99,0.9,3
425,85.16,0.4,-5.46,0.1,4
426,55.95,5.5,-2.38,0.6,3
427,86.06,7.3,6.82,1.9,6
428,67.86,3.3,8.31,1.2,6
429,75.89,9.7,-2.25,0.4,5
430,52.18,2.4,9.95,0.5,5
431,66.86,7.5,-6.08,0.2,4
432,72.29,9.1,3.64,1.3,3
433,71.84,6.6,-2.94,0.1,10
434,61.1,4.6,-0.53,1.5,10
435,53.12,5.2,8.5,0.9,11
436,54.06,3.6,2.32,0.4,3
437,62.37,7.6,-3.49,1.1,11
438,77.2,6.1,7.2,1.3,10
439,90.8,4.4,9.16,1.4,7
440,66.28,5.2,4.56,1.9,8
441,66.36,1.6,-5.32,0.4,9
442,80.63,7.8,-0.49,1.3,9
443,57.87,5.3,2.74,1.5,1
444,94.64,1.6,-4.99,0.0,3
445,85.84,9.8,3.4,1.7,5
446,97.72,7.0,4.56,1.3,8
447,71.87,3.9,-2.11,1.7,7
448,72.72,6.1,-2.59,0.9,1
449,93.36,6.9,-4.56,0.7,8
450,85.02,2.4,-5.96,1.2,11
451,53.62,2.7,-6.63,1.5,0
452,96.18,4.5,7.82,0.3,2
453,52.6,3.4,-1.76,1.5,8
454,59.34,8.6,2.13,0.5,10
455,89.94,6.2,-4.61,0.9,0
456,93.38,0.6,-9.95,0.8,5
457,98.31,2.4,-6.61,1.2,8
458,92.09,2.2,4.22,0.3,2
459,84.02,4.2,9.85,0.4,4
460,97.47,0.3,-0.73,1.6,0
461,73.73,2.8,7.92,0.8,9
462,66.91,0.2,-1.26,1.9,3
463,72.66,0.1,7.26,0.7,6
464,75.15,3.8,-0.75,1.9,9
465,78.52,4.8,5.92,0.2,2
466,98.78,9.8,6.29,0.6,0
467,95.89,6.5,7.46,1.1,5
468,50.31,8.1,9.83,0.3,5
469,54.27,2.3,1.81,1.2,4
470,57.81,2.5,-4.11,0.9,4
471,51.76,4.2,-2.56,0.9,8
472,87.85,0.4,-9.13,1.8,6
473,60.47,2.2,9.61,0.2,5
474,56.8,7.9,-1.72,0.1,4
475,57.05,5.5,9.58,0.6,2
476,64.8,4.3,6.11,1.9,5
477,51.55,9.2,-5.65,1.0,9
478,65.73,3.8,-4.86,0.6,1
479,52.86,1.0,8.94,0.2,1
480,51.72,4.7,4.57,0.9,6
481,53.18,0.8,-9.05,0.3,4
482,64.97,2.6,4.87,0.8,4
483,98.87,9.5,9.46,1.6,1
484,93.67,5.8,-7.83,2.0,12
485,76.93,5.0,5.31,0.2,9
486,51.25,5.4,7.37,1.0,0
487,95.42,6.3,-0.0,0.5,11
488,55.91,0.6,0.51,1.5,0
489,63.44,0.9,-5.83,1.1,3
490,61.77,7.1,6.48,0.3,6
491,55.93,5.8,8.45,0.1,7
492,71.24,3.7,-2.24,1.9,2
493,80.35,7.5,-7.53,0.8,1
494,67.18,8.9,4.85,0.2,10
495,97.03,8.6,-0.33,0.3,11
496,76.84,8.3,4.05,1.0,8
497,84.61,7.1,5.57,1.7,2
498,72.2,2.0,7.89,1.7,4
499,61.51,5.2,-0.51,0.9,6
500,99.68,5.2,4.68,2.0,5
501,56.15,1.2,-9.14,0.5,1
502,91.27,8.3,6.88,1.9,12
503,76.13,8.7,4.15,0.3,9
504,87.92,2.4,-2.72,1.8,2
505,68.55,2.8,-8.58,0.1,11
506,56.33,6.1,0.56,2.0,0
507,98.55,0.5,1.28,0.3,2
508,84.09,7.1,4.91,0.5,8
509,76.67,3.7,-9.76,1.7,12
510,55.87,7.5,8.93,0.5,0
511,85.37,7.1,2.63,0.1,6
512,95.77,0.0,1.18,1.7,2
513,82.1,5.6,0.21,0.8,0
514,64.37,5.0,3.14,0.3,2
515,50.16,7.5,0.84,1.1,4
516,67.89,9.0,-7.71,1.7,2
517,72.98,7.4,7.82,1.5,10
518,64.88,5.7,4.81,0.9,10
519,84.7,3.9,7.42,0.6,2
520,71.13,5.6,-9.25,1.3,11
521,67.85,2.3,4.67,1.3,10
522,94.02,8.4,-9.16,1.6,5
523,55.62,6.6,-9.92,0.7,4
524,83.47,2.8,7.79,1.6,0
525,63.96,6.4,1.82,0.1,4
526,55.84,4.6,0.23,1.5,5
527,93.5,0.1,8.71,1.3,4
528,90.36,0.7,6.98,0.3,6
529,57.39,4.7,2.56,0.8,4
530,85.3,4.8,2.42,0.5,11
531,89.59,3.9,5.9,1.2,9
532,82.16,5.2,5.64,0.3,3
533,90.5,8.3,1.47,0.4,6
534,84.25,7.7,-6.62,1.8,11
535,57.11,1.5,-4.18,0.1,6
536,97.45,7.5,6.29,1.0,12
537,98.66,1.0,-4.44,0.7,8
538,78.07,4.3,3.39,1.3,1
539,92.01,5.6,-6.24,1.4,11
540,89.27,6.4,9.96,1.3,10
541,77.87,0.3,-6.31,0.6,7
542,74.75,3.1,4.07,1.8,1
543,87.9,8.2,-9.7,1.4,4
544,62.49,4.0,4.4,0.8,0
545,72.89,8.7,7.73,1.2,9
546,80.93,4.9,7.46,0.8,8
547,94.75,4.3,6.22,1.3,9
548,70.48,7.7,1.43,0.1,0
549,60.4,4.5,-6.81,0.3,9
550,92.33,3.0,9.99,1.2,0
551,73.63,4.4,8.77,0.7,11
552,85.29,3.7,3.31,0.3,2
553,84.5,2.9,-1.16,1.7,9
554,58.84,6.5,-7.61,1.3,0
555,90.36,3.9,3.08,0.7,9
556,50.44,2.6,1.99,0.5,4
557,95.89,2.4,0.8,0.9,11
558,63.02,3.6,1.34,0.3,2
559,87.01,9.8,-4.14,1.8,5
560,85.59,2.1,4.26,1.9,0
561,77.81,2.1,-7.11,1.4,12
562,95.99,5.9,1.08,1.4,7
563,67.89,5.8,3.39,0.1,12
564,70.51,6.7,-4.26,1.0,5
565,71.47,3.9,0.24,2.0,10
566,78.91,9.0,5.08,1.0,9
567,92.8,9.4,9.77,2.0,10
568,78.68,4.2,-1.03,1.7,2
569,88.21,2.3,9.35,1.7,7
570,98.6,8.0,-3.21,1.7,8
571,79.62,8.7,7.23,0.1,12
572,83.04,2.5,7.15,0.1,0
573,89.48,9.0,1.63,0.6,11
574,72.53,0.4,-2.2,1.5,5
575,60.84,8.3,-5.39,1.7,12
576,53.52,8.7,-2.29,1.3,2
577,57.57,1.5,4.42,1.6,5
578,91.57,5.3,-1.24,1.4,4
579,75.89,7.9,-5.1,2.0,10
580,67.7,7.1,1.97,0.8,9
581,83.65,8.7,8.84,1.6,11
582,86.43,5.5,-4.52,1.1,2
583,84.02,6.8,5.5,0.8,1
584,57.6,2.9,6.77,0.8,2
585,99.78,3.4,-9.18,1.1,8
586,54.23,1.5,-8.64,1.3,8
587,65.84,3.0,9.95,1.4,10
588,99.17,4.1,-8.35,1.4,8
589,71.84,6.2,3.24,0.8,5
590,82.47,4.9,-3.94,2.0,4
591,86.79,7.5,4.9,1.6,8
592,95.09,3.9,-7.94,1.5,1
593,78.88,6.9,0.13,1.2,9
594,53.05,8.5,-6.88,0.4,2
595,92.36,8.1,-5.72,1.5,12
596,85.48,7.7,-8.17,0.1,8
597,56.54,0.4,4.43,0.5,6
598,93.66,4.5,-3.97,1.6,1
599,69.66,4.4,1.82,1.6,2
600,83.44,9.6,-9.68,1.0,2
601,66.1,0.7,-3.79,0.7,9
602,51.86,4.7,-1.5,0.3,0
603,68.84,8.5,5.84,0.5,9
604,69.46,4.9,8.97,0.3,3
605,50.61,4.6,-4.34,0.4,12
606,61.71,2.7,3.51,0.6,1
607,74.74,4.8,-9.5,1.0,7
608,76.45,2.3,5.62,1.6,4
609,57.06,5.2,2.74,0.7,5
610,71.65,0.5,3.5,0.2,2
611,95.09,5.3,7.49,0.4,7
612,78.52,7.8,-3.72,1.9,10
613,78.0,9.5,8.31,1.7,2
614,51.87,3.0,-4.95,1.7,10
615,78.8,7.6,2.16,0.3,7
616,75.46,10.0,6.76,1.0,10
617,66.4,3.5,-7.05,1.2,10
618,57.43,7.9,-2.94,1.7,9
619,94.09,1.5,-2.95,0.3,12
620,84.74,7.0,3.47,0.2,7
621,58.54,4.7,-0.95,1.6,1
622,55.18,8.0,-6.69,0.9,1
623,83.01,4.1,-2.05,0.0,7
624,93.97,2.6,-8.8,0.2,11
625,57.2,4.5,8.95,0.2,8
626,81.97,4.7,9.39,0.7,12
627,54.19,1.0,0.91,0.7,11
628,55.87,5.4,8.45,0.4,12
629,97.18,3.1,0.86,0.2,1
630,58.31,4.7,4.24,0.7,6
631,81.23,6.6,2.47,1.3,0
632,96.83,3.1,-2.95,1.1,9
633,62.81,7.3,-8.88,0.4,10
634,93.1,8.6,3.53,1.6,10
635,97.71,4.6,3.41,1.2,1
636,73.46,3.3,-9.04,1.5,6
637,75.82,7.7,-1.45,1.8,9
638,56.88,7.5,-2.07,0.1,4
639,91.62,2.5,-9.91,1.9,7
640,89.33,4.7,0.18,0.8,5
641,52.27,5.6,0.33,0.9,9
642,87.17,7.8,-0.22,0.5,4
643,54.7,0.5,8.27,0.9,0
644,61.3,6.9,-9.53,0.8,10
645,61.13,5.7,-3.5,1.7,11
646,88.76,7.2,-3.25,0.1,12
647,68.83,1.0,-1.93,0.7,5
648,66.25,3.7,-3.9,1.9,6
649,79.91,3.6,-2.8,0.7,3
650,87.28,6.9,5.35,0.7,6
651,77.21,0.2,-1.05,1.0,1
652,67.78,7.6,2.29,1.4,12
653,74.17,8.0,-9.37,0.6,10
654,87.03,1.8,0.54,1.5,1
655,69.43,8.2,4.44,0.5,8
656,91.63,6.4,0.53,0.6,1
657,66.49,9.6,2.11,0.7,12
658,75.48,2.5,4.09,1.7,9
659,72.03,9.8,-7.13,1.3,0
660,63.41,7.6,-2.72,1.0,6
661,75.43,4.5,7.87,1.1,4
662,71.68,7.0,-0.28,1.4,12
663,70.3,6.4,-1.81,0.6,10
664,87.75,2.9,-4.19,1.4,7
665,85.98,7.9,-5.44,1.1,2
666,97.18,8.8,9.12,1.6,0
667,69.11,6.9,-9.05,1.5,1
668,90.19,7.7,-5.7,0.6,2
669,86.68,7.1,-8.75,0.0,6
670,85.74,7.0,-0.17,0.4,5
671,50.43,3.4,4.41,1.6,2
672,86.36,9.4,2.01,0.1,10
673,50.34,8.7,-9.73,0.7,5
674,65.7,5.2,-4.23,0.7,3
675,75.06,3.5,-1.52,0.5,3
676,51.97,7.6,-3.96,0.7,4
677,78.15,0.5,0.5,0.8,1
